行号,标签,预测,判定
76,这是其他垃圾_串串竹签。,这张图片里的是竹子。竹子是一种植物，通常用于制造竹制品，如筷子、筷子夹等。图片中可以看到一些竹子的碎片。,1
77,这是其他垃圾_串串竹签。,图中没有垃圾。,0
78,这是其他垃圾_串串竹签。,这个垃圾属于厨余垃圾。,0
79,这是其他垃圾_串串竹签。,这张图片里有塑料袋，属于其他垃圾。,0
80,这是其他垃圾_串串竹签。,这个垃圾是可回收垃圾。,0
81,这是其他垃圾_串串竹签。,这是竹签，通常用于烧烤或其他食物处理。,1
82,这是其他垃圾_串串竹签。,图中的垃圾是竹签。,1
83,这是其他垃圾_串串竹签。,图片中的物品属于其他垃圾类别。,1
84,这是其他垃圾_串串竹签。,图中没有垃圾。,0
85,这是其他垃圾_串串竹签。,图中的垃圾是“筷子”。,0
86,这是其他垃圾_便利贴。,图片中的物品属于不可回收垃圾类别。,0
87,这是其他垃圾_便利贴。,这张图片里是纸张垃圾。,0
88,这是其他垃圾_便利贴。,图中的垃圾是胶带。,0
89,这是其他垃圾_便利贴。,根据图片中的物品，我们可以看出这些物品属于其他垃圾。其他垃圾包括可回收物、有害垃圾、湿垃圾和干垃圾等。在垃圾分类中，这些物品属于湿垃圾。,0
90,这是其他垃圾_便利贴。,这张图片里有可爱的兔子、熊、青蛙等图案的便利贴，这些便利贴通常用于做笔记或标记信息。,1
91,这是其他垃圾_便利贴。,图中的垃圾是彩色的便利贴，贴纸上的图案有笑脸、五角星、圆圈、三角形、正方形、圆形、正方形、方形、圆形、圆形、方形、方形、圆形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、方形、,1
92,这是其他垃圾_便利贴。,这是一张橙色的纸片，形状像一朵花。它放在一张带有彩色图案的纸上。,0
93,这是其他垃圾_便利贴。,这是四张彩色的便利贴，每张便利贴都是正方形的。,1
94,这是其他垃圾_便利贴。,图片中的物品属于可回收垃圾。,0
95,这是其他垃圾_便利贴。,这张图片里是塑料垃圾。,0
96,这是其他垃圾_创可贴。,这是一张黄色的创可贴。创可贴是一种常见的医疗用品，通常用于处理轻微的擦伤或切割伤。它通常由胶水或胶带粘附在受伤的皮肤上，以帮助减少疼痛和促进愈合。,1
97,这是其他垃圾_创可贴。,这是一个胶布绷带，通常用于包扎伤口。胶布绷带是医疗设备的一部分，用于保护伤口并促进愈合。,1
98,这是其他垃圾_创可贴。,图中的垃圾是创可贴。,1
99,这是其他垃圾_创可贴。,这个垃圾属于“医疗废弃物”类别。,0
100,这是其他垃圾_创可贴。,这张图片中的垃圾是废弃的医用胶布。,1
101,这是其他垃圾_创可贴。,这张图片里的垃圾是塑料袋。塑料袋通常被分类为可回收垃圾。,0
102,这是其他垃圾_创可贴。,这是一包儿童创可贴。这些创可贴上印有各种图案和颜色，适合儿童使用。,1
103,这是其他垃圾_创可贴。,这是一张卡通插画，图中是一个橙色的膏药。膏药是一种常见的医疗用品，用于敷在受伤或擦伤的皮肤上，以减轻疼痛和促进愈合。膏药通常由橡胶或合成橡胶制成，上面有多个小孔，可以透气并保持干燥。,0
104,这是其他垃圾_创可贴。,图片中的物品属于其他垃圾。,1
105,这是其他垃圾_创可贴。,根据图片内容，可以确定该物品属于其他垃圾类别。其他垃圾是指除可回收物、有害垃圾、湿垃圾和干垃圾外的其他垃圾，主要包括砖瓦、陶瓷、渣土、卫生间废纸等。,0
106,这是其他垃圾_创可贴。,这是一张卡通插画，图中展示的是一个包装盒和一块贴片。包装盒的顶部是打开的，露出了一块贴片。贴片上有一个白色的十字，旁边有白色和棕色的圆点，代表了布丁的外观。背景是浅色的，没有其他明显的细节。,0
107,这是其他垃圾_创可贴。,图中没有垃圾。,0
108,这是其他垃圾_创可贴。,这个垃圾属于“医疗废物”。,0
109,这是其他垃圾_创可贴。,这个垃圾是塑料包装袋。,0
110,这是其他垃圾_创可贴。,这张图片里是医疗废物。,0
111,这是其他垃圾_创可贴。,图片中的物品属于其他垃圾类别。,1
112,这是其他垃圾_创可贴。,这张图片中的垃圾属于其他垃圾。,1
113,这是其他垃圾_创可贴。,这个垃圾属于生活垃圾中的医疗垃圾。,0
114,这是其他垃圾_厨房手套。,这张图片里没有垃圾，只有一双手。,0
115,这是其他垃圾_厨房手套。,这个垃圾属于塑料垃圾。,0
116,这是其他垃圾_厨房手套。,这是一双手套。手套通常是用于保护手部免受伤害或污染的物品，通常在厨房、清洁工作或需要接触化学品时使用。根据手套的材质和设计，它们可以有不同的用途和功能。,1
117,这是其他垃圾_厨房手套。,这张图片展示的是三双厨房手套，每双手套的价格是9.8元。,1
118,这是其他垃圾_厨房手套。,图中没有垃圾。,0
119,这是其他垃圾_厨房手套。,这张图片里的是一个紫色的橡胶手套。橡胶手套通常用于清洁和保护手部。橡胶手套在家庭清洁、厨房清洁、浴室清洁等方面非常常见。橡胶手套通常由橡胶制成，具有耐用性和防滑性。,1
120,这是其他垃圾_厨房手套。,这张图片里是一双橡胶手套。橡胶手套通常用于清洁工作，如洗碗、清洁厨房等。它们通常不会被分类为可回收垃圾或有害垃圾，而是被归类为普通垃圾。,1
121,这是其他垃圾_厨房手套。,这张图片里是塑料垃圾。塑料垃圾通常是指那些由塑料制成的垃圾，包括塑料袋、塑料瓶、塑料包装盒等。,1
122,这是其他垃圾_厨房手套。,这个物品看起来像是一个硅胶手套。硅胶手套通常用于清洁和保护手部。因此，这个垃圾应该被分类为“家居清洁用品”。,0
123,这是其他垃圾_厨房手套。,这是橡胶手套。橡胶手套通常用于清洁和防护，特别是厨房和卫生区域。它们可以防止手部受到划伤和污染。,1
124,这是其他垃圾_厨房手套。,图片中的物品属于不可回收垃圾。,0
125,这是其他垃圾_厨房手套。,这是一双白色的手套。手套上有凹凸不平的纹理，可能用于保护手部免受刺激或伤害。手套的前部有一个圆形的标志，可能表示品牌或系列。,1
126,这是其他垃圾_厨房手套。,这张图片是一张黄色手套的图片，无法确定它属于什么垃圾类别。,0
127,这是其他垃圾_厨房手套。,这个垃圾是厨房垃圾。,0
128,这是其他垃圾_厨房手套。,图中的垃圾是黄色橡胶手套。,1
129,这是其他垃圾_口罩。,图片中的物品属于有害垃圾类别。,0
130,这是其他垃圾_口罩。,图片中的物品属于其他垃圾。,1
131,这是其他垃圾_口罩。,这是一张3M品牌的9501口罩的照片。3M是全球知名的防护用品制造商，该口罩符合GB2626-2006 KN95标准，具有良好的防护效果。,1
132,这是其他垃圾_口罩。,图中有一个白色的防护口罩。,1
133,这是其他垃圾_口罩。,图中的垃圾是3M口罩。,1
134,这是其他垃圾_口罩。,图片中的物品属于可回收垃圾。,0
135,这是其他垃圾_口罩。,这张图片里是一次性口罩，属于生活垃圾。,1
136,这是其他垃圾_口罩。,图片中的物品属于可回收垃圾。,0
137,这是其他垃圾_口罩。,这张图片里有三个白色口罩。根据图片内容，它们属于口罩类垃圾。,1
138,这是其他垃圾_口罩。,这个垃圾应该属于以下类别之一：  1. 医用口罩 2. 防护口罩 3. 一次性口罩 4. 个人防护装备（PPE） 5. 个人卫生用品  由于这个口罩带有呼吸阀，通常情况下，呼吸阀口罩的使用场景是用于在有空气污染的情况下，比如在化工厂、工厂等环境中使用，以防止吸入有害气体或粉尘。,1
139,这是其他垃圾_唱片。,这个垃圾属于废弃物品，具体来说是旧唱片。,1
140,这是其他垃圾_唱片。,图中的垃圾是一些破损的黑胶唱片，表面有些许划痕和磨损。,1
141,这是其他垃圾_唱片。,这是一张黑胶唱片。唱片上印有中文歌词和音乐作品的标题，唱片的外包装上也印有“中国唱片”的标志。黑胶唱片是一种传统的音频存储介质，通常用于播放音乐和广播。,1
142,这是其他垃圾_唱片。,根据图片中的描述，这个物品是一个红色的唱片，属于音乐类垃圾。,1
143,这是其他垃圾_图钉。,图片中的物品属于其他垃圾类别。,1
144,这是其他垃圾_图钉。,图中的垃圾是四枚银色金属圆片。,0
145,这是其他垃圾_图钉。,这张图片里的垃圾是金属。,0
146,这是其他垃圾_图钉。,这个垃圾可以归为“金属废料”。,0
147,这是其他垃圾_图钉。,这是两种不同颜色的回形针。,0
148,这是其他垃圾_大龙虾头。,这是一道美味的红烧小龙虾。,0
149,这是其他垃圾_大龙虾头。,图片中的物品属于其他垃圾类别。,1
150,这是其他垃圾_大龙虾头。,这张图片里没有垃圾。,0
151,这是其他垃圾_大龙虾头。,图片中的物品属于厨余垃圾类别。,0
152,这是其他垃圾_奶茶杯。,这是一个杯子，上面有雪花图案。,1
153,这是其他垃圾_奶茶杯。,这个垃圾属于厨余垃圾。,0
154,这是其他垃圾_奶茶杯。,这张图片里是可回收物。,0
155,这是其他垃圾_奶茶杯。,这张图片里没有明显的垃圾，因为图片中展示的是各种不同容量的塑料杯。,0
156,这是其他垃圾_奶茶杯。,这是《小猪佩奇》的饮品。图中杯子上有小猪佩奇的图案，背景是《小猪佩奇》的主题店。,0
157,这是其他垃圾_奶茶杯。,这张图片里有塑料杯，塑料杯属于其他垃圾。,1
158,这是其他垃圾_奶茶杯。,图片中的物品属于其他垃圾。,1
159,这是其他垃圾_干果壳。,这是一碗松果。,0
160,这是其他垃圾_干果壳。,这张图片里是坚果壳。,1
161,这是其他垃圾_干果壳。,这是一碗杏仁。杏仁是一种常见的坚果，通常以壳包裹着种子。它们富含健康脂肪，蛋白质和纤维，并且在许多文化中被用于零食或健康饮食。,0
162,这是其他垃圾_干果壳。,这张图片里没有明显的垃圾，可能是一个食品包装袋。,0
163,这是其他垃圾_干果壳。,图片中的物品属于其他垃圾。,1
164,这是其他垃圾_干果壳。,图片中的物品属于厨余垃圾。,0
165,这是其他垃圾_干果壳。,图中的垃圾是坚果。,1
166,这是其他垃圾_干果壳。,图中的垃圾是核桃。,1
167,这是其他垃圾_干果壳。,,0
168,这是其他垃圾_干果壳。,图中没有垃圾。,0
169,这是其他垃圾_干燥剂。,这是一种硅胶干燥剂，通常用于吸收空气中的水分，保持物品干燥。硅胶是一种多孔的非晶态材料，通常含有硅和氧的化合物。它具有吸湿性，能够吸收和释放水分，从而调节物品的湿度。硅胶干燥剂常用于食品储存、衣物干燥、相机清洁和电池维护等领域。,1
170,这是其他垃圾_干燥剂。,图片中的物品属于有害垃圾类别。,0
171,这是其他垃圾_干燥剂。,图中的垃圾是硅胶干燥剂，它是一种吸附剂，用于吸收空气中的水分，防止物品受潮。,1
172,这是其他垃圾_干燥剂。,这张图片里的垃圾是硅胶干燥剂。硅胶干燥剂是一种吸湿剂，通常用于干燥空气、食品、药品等。图片中的硅胶干燥剂包装上印有“DO NOT EAT”字样，提示用户不要食用。,1
173,这是其他垃圾_干燥剂。,这个垃圾属于固体废弃物。,0
174,这是其他垃圾_干燥剂。,这个垃圾是塑料垃圾。,0
175,这是其他垃圾_干燥剂。,这张图片里的垃圾是硅胶干燥剂，属于不可回收垃圾。,1
176,这是其他垃圾_打泡网。,这张图片里的垃圾是可回收物。,0
177,这是其他垃圾_打泡网。,这是一张报纸，上面有英文文字，可能是一份旧报纸。报纸上的文字看起来像是英文，但具体的内容可能无法辨认。,0
178,这是其他垃圾_打火机。,这张图片中的物品是香烟和打火机。,1
179,这是其他垃圾_打火机。,这个物品是一个打火机，属于垃圾中的电子产品和电子设备。,0
180,这是其他垃圾_放大镜。,这是一个放大镜，上面写着“SEARCH”。放大镜通常用于放大物体或文本，以便更清楚地观察细节。,1
181,这是其他垃圾_放大镜。,这张图片里有一个放大镜和几本书。放大镜是用来放大物体的工具，而书则是书籍的英文单词。所以，这张图片里并不是垃圾，而是书和放大镜。,0
182,这是其他垃圾_放大镜。,这个垃圾是纸张垃圾。,0
183,这是其他垃圾_放大镜。,图片中的物品属于有害垃圾。,0
184,这是其他垃圾_毛巾。,这张图片里是一叠毛巾。,1
185,这是其他垃圾_毛巾。,这是用毛巾折叠成的兔子。具体步骤如下：  1. 将毛巾展开，将毛巾的一侧折叠成一条小圆柱。 2. 将毛巾的另一侧折叠成一条细长的条。 3. 将毛巾的底部折叠成一个圆形，使其形成兔子的头部。 4. 将毛巾的底部向右折叠，形成兔子的身体。 5. 将毛巾的顶部向右折叠，形成兔子的耳朵。  这样就完成了兔子的折叠。,1
186,这是其他垃圾_毛巾。,图中的垃圾是一堆柔软的白色棉布毛巾。,1
187,这是其他垃圾_毛巾。,这张图片中的垃圾是：  1. 柔软的浴巾和毛巾 2. 红色的花朵 3. 白色的背景  这些垃圾属于家庭垃圾，不需要进行分类。,1
188,这是其他垃圾_毛巾。,,0
189,这是其他垃圾_毛巾。,这张图片中的垃圾是：浴巾。,1
190,这是其他垃圾_毛巾。,图中没有垃圾。,0
191,这是其他垃圾_毛巾。,这个垃圾属于可回收物。,0
192,这是其他垃圾_毛巾。,根据图片中的物品，它属于其他垃圾。,1
193,这是其他垃圾_毛巾。,图中没有垃圾，只有一堆绿色的毛巾。,0
194,这是其他垃圾_毛巾。,图片中的物品属于其他垃圾类别。,1
195,这是其他垃圾_毛巾。,图中没有垃圾。,0
196,这是其他垃圾_毛巾。,这个垃圾属于不可回收垃圾。,0
197,这是其他垃圾_毛巾。,图片中的物品属于不可回收垃圾。,0
198,这是其他垃圾_毛巾。,这张图片展示了一块蓝色的毛巾，放在一辆车的挡风玻璃上。这可能是一种汽车清洁用品，用于擦拭汽车表面。因此，这个垃圾可以归类为“清洁用品”或“汽车护理用品”。,1
199,这是其他垃圾_毛巾。,这个垃圾属于电子产品垃圾。,0
200,这是其他垃圾_毛巾。,这张图片的内容物属于家居用品，属于生活用品类。,0
201,这是其他垃圾_毛巾。,图中的垃圾是绿色的针织衫，上面有白色的毛绒图案。,0
202,这是其他垃圾_毛巾。,图中没有垃圾。,0
203,这是其他垃圾_毛巾。,这是四个不同颜色的毛巾叠放在一起的照片。从上到下分别是绿色、白色、黄色和橙色。这些毛巾看起来非常柔软和舒适。,1
204,这是其他垃圾_毛巾。,图中的垃圾是纸巾。,0
205,这是其他垃圾_毛巾。,图中的垃圾是一堆折叠的婴儿毛巾被。,1
206,这是其他垃圾_毛巾。,这张图片中的垃圾是毛巾。,1
207,这是其他垃圾_毛巾。,图片中的物品属于不可回收垃圾类别。,1
208,这是其他垃圾_毛巾。,,0
209,这是其他垃圾_毛巾。,这个图片中的垃圾类型是“垃圾”（Garbage）。,0
210,这是其他垃圾_毛巾。,这是毛巾。,1
211,这是其他垃圾_毛巾。,图片中的物品属于其他垃圾。,1
212,这是其他垃圾_毛巾。,图中的垃圾是一块绿色的塑料瓶盖。,0
213,这是其他垃圾_毛巾。,这张图片里的是大白巾，属于其他垃圾。,1
214,这是其他垃圾_涂改带。,这张图片里的垃圾是塑料垃圾。,0
215,这是其他垃圾_涂改带。,根据图片中的信息，该物品属于有害垃圾。,0
216,这是其他垃圾_涂改带。,这个垃圾属于办公用品垃圾。,0
217,这是其他垃圾_涂改带。,这张图片里没有提到垃圾。,0
218,这是其他垃圾_涂改带。,这张图片里的物品是废弃的，应该属于有害垃圾。,0
219,这是其他垃圾_湿纸巾。,根据图片内容，这个物品属于其他垃圾类别。,1
220,这是其他垃圾_湿纸巾。,这是三包婴儿湿巾。湿巾通常用于清洁宝宝的脸部和身体，具有温和的配方，不会对宝宝的皮肤造成刺激。,1
221,这是其他垃圾_湿纸巾。,这张图片里没有明显的垃圾。,0
222,这是其他垃圾_湿纸巾。,图片中的物品属于有害垃圾。,0
223,这是其他垃圾_湿纸巾。,这个垃圾属于其他垃圾。,1
224,这是其他垃圾_湿纸巾。,这是一个湿巾，通常用于清洁双手或面部。它可能含有温和的清洁剂，适合家庭使用或旅行时使用。湿巾通常用于清洁，可以去除表面的污垢、油脂和细菌。,1
225,这是其他垃圾_湿纸巾。,这是一个包装盒，里面装着“WingCotton 棉花之翼”品牌的湿巾。湿巾通常用于清洁皮肤，具有柔软的材质和温和的配方，适合各种皮肤类型。,1
226,这是其他垃圾_湿纸巾。,图片中的物品属于可回收物。,0
227,这是其他垃圾_湿纸巾。,这是一个名为“伦敦清爽雪松净化湿巾”的产品。它是一种含有雪松提取物的湿巾，通常用于清洁面部、颈部和身体。,1
228,这是其他垃圾_湿纸巾。,根据图片中的物品，这个是包装湿巾，属于生活类垃圾。,1
229,这是其他垃圾_湿纸巾。,图片中的物品属于其他垃圾类别。,1
230,这是其他垃圾_湿纸巾。,这是一个装有婴儿湿巾的包装。包装上有一个透明的盖子，打开后可以看到湿巾的包装。湿巾上有“Baby Wipes”的字样，表示这是针对婴儿使用的湿巾。湿巾的包装上有品牌标识和包装细节，包括湿巾的数量和使用说明。,0
231,这是其他垃圾_湿纸巾。,这个垃圾属于不可回收垃圾。,0
232,这是其他垃圾_湿纸巾。,这张图片中的垃圾属于“其他垃圾”类别。,1
233,这是其他垃圾_烟蒂。,这张图片里的是废电池。,0
234,这是其他垃圾_烟蒂。,图片中的物品属于其他垃圾类别。,1
235,这是其他垃圾_烟蒂。,这个垃圾是废弃的香烟烟蒂。,1
236,这是其他垃圾_烟蒂。,这张图片里的是烟蒂。,1
237,这是其他垃圾_烟蒂。,图片里是一块废弃的烟蒂。,1
238,这是其他垃圾_烟蒂。,图片中的物品属于有害垃圾。,0
239,这是其他垃圾_烟蒂。,这张图片里的是烟蒂。,1
240,这是其他垃圾_烟蒂。,这张图片中的垃圾是废纸。,0
241,这是其他垃圾_烟蒂。,这张图片里是一块粉笔。,0
242,这是其他垃圾_烟蒂。,这个垃圾应该归类为烟蒂。,1
243,这是其他垃圾_烟蒂。,这张图片中的垃圾属于烟蒂。,1
244,这是其他垃圾_烟蒂。,这个垃圾应该属于可回收垃圾。,0
245,这是其他垃圾_烟蒂。,这张图片里的垃圾是电池。,0
246,这是其他垃圾_烟蒂。,这是一张图片，图片中有一个小木块。根据图片中的信息，无法准确判断这个垃圾是属于哪一类垃圾。可能需要更多的信息来确定垃圾类型。,0
247,这是其他垃圾_烟蒂。,根据图片内容，这个物品属于其他垃圾。,1
248,这是其他垃圾_烟蒂。,这是一个棕色的物体，看起来像是一个巧克力棒。巧克力棒通常是由巧克力制成的，常见于巧克力食品中。,0
249,这是其他垃圾_烟蒂。,根据图中物品的外观和颜色，它属于其他垃圾。,1
250,这是其他垃圾_烟蒂。,图中的垃圾是烟蒂。,1
251,这是其他垃圾_烟蒂。,这张图片显示的是一根烟蒂。,1
252,这是其他垃圾_烟蒂。,这是一个木制的插销，通常用于建筑或家具安装。插销是一种插入式装置，可以用来固定两个物体之间的距离，使其不能自由移动。插销通常用于需要频繁拆装的场合，例如家具安装。,0
253,这是其他垃圾_烟蒂。,根据图片中的物品，可以判断它属于其他垃圾。,1
254,这是其他垃圾_烟蒂。,图片中的物品属于烟蒂垃圾类别。,1
255,这是其他垃圾_烟蒂。,图片中的物品属于不可回收垃圾。,1
256,这是其他垃圾_烟蒂。,根据图片中的物品，它属于可回收垃圾。,0
257,这是其他垃圾_烟蒂。,这个垃圾属于可回收垃圾。,0
258,这是其他垃圾_烟蒂。,这是一支香烟。,1
259,这是其他垃圾_烟蒂。,这张图片里是烟蒂。,1
