行号,预测,标签
138,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
139,图中展示的物品是键盘，根据垃圾分类的标准，应该属于电子垃圾,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物
"
140,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
141,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
142,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是台历,根据垃圾分类的标准，应该属于可回收物
"
143,图中展示的物品是报纸，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物
"
144,图中展示的物品是玩具，根据垃圾分类的标准，应该属于垃圾玩具。,"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物
"
145,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
146,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是粉条,根据垃圾分类的标准，应该属于厨余垃圾
"
147,图中展示的物品是锡纸，根据垃圾分类的标准，应该属于不可回收垃圾。,"图中展示的物品是餐盒,根据垃圾分类的标准，应该属于其他垃圾
"
148,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是地球仪,根据垃圾分类的标准，应该属于可回收物
"
149,图中展示的物品是西瓜，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是西瓜皮,根据垃圾分类的标准，应该属于厨余垃圾
"
150,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物
"
151,图中展示的物品是电子元件，根据垃圾分类的标准，应该属于电子垃圾。,"图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物
"
152,图中展示的物品是{no garbage object}，根据垃圾分类的标准，应该属于{receptacle},"图中展示的物品是充电头,根据垃圾分类的标准，应该属于可回收物
"
153,"垃圾物品：汉堡包、炸薯条
垃圾类型：食物垃圾","图中展示的物品是汉堡,根据垃圾分类的标准，应该属于厨余垃圾
"
154,图中展示的物品是巢,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
155,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物
"
156,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
157,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物
"
158,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是残渣剩饭,根据垃圾分类的标准，应该属于厨余垃圾
"
159,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}其他垃圾","图中展示的物品是奶盒,根据垃圾分类的标准，应该属于可回收物
"
160,图中展示的物品是[flyswatter]，根据垃圾分类的标准，应该属于[recycling]。,"图中展示的物品是苍蝇拍,根据垃圾分类的标准，应该属于其他垃圾
"
161,图中展示的物品是[food]，根据垃圾分类的标准，应该属于[food waste],"图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾
"
162,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
163,图中展示的物品是{none}，根据垃圾分类的标准，应该属于{none},"图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
164,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
165,图中展示的物品是墨盒，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物
"
166,图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于玻璃瓶,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
167,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾","图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
168,图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
169,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是餐垫,根据垃圾分类的标准，应该属于可回收物
"
170,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是镊子,根据垃圾分类的标准，应该属于可回收物
"
171,图中展示的物品是鸡蛋，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
172,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
173,鼠标,"图中展示的物品是鼠标,根据垃圾分类的标准，应该属于可回收物
"
174,图中展示的物品是计算器，根据垃圾分类的标准，应该属于电子废弃物,"图中展示的物品是计算器,根据垃圾分类的标准，应该属于可回收物
"
175,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是一次性棉签,根据垃圾分类的标准，应该属于其他垃圾
"
176,图中展示的物品是{vegetable}，根据垃圾分类的标准，应该属于{vegetable},"图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾
"
177,"图中展示的物品是[food_object],根据垃圾分类的标准，应该属于[food]","图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
178,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物
"
